business_id,Sandwiches,Bars,Chinese,Dessert,Italian,Cafes,Mediterranean,Japanese,French,Food Trucks,Non-American,American,Non-White,Asian,Latin American,Thai,Brunch,Pizza,Korean,European
5UmKMjUEUNdYWqANhGckJw,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mVHrayjG3uZ_RLHkLj-AMg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KayYbHCt-RkbGcPdGOThNg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
wJr6kSA5dchdgOdwH6dZ2w,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fNGIbpazjTRdXgwRY_NIXA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
b9WZJp5L1RZr4F1nxclOoQ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zaXDakTd3RXyOa7sMrUE1g,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WETE_LykpcnrC1sFcQ5EGg,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
rv7CY8G_XibTx82YhuqQRw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SQ0j7bgSTazkVQlF5AnqyQ,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
wqu7ILomIOPSduRwoWp4AQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P1fJb2WQ1mXoiudj8UE44w,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8QlnAcjGE6dgfKTVoxrPvQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
t_gan0EXAw8csKIeFyazJw,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
6ilJq_05xRgek_8qUp36-g,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1qCuOcks5HRv67OHovAVpg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sbW8qHJgzEIH42B0S-3New,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
W7ysp8GLCBrs0GXIVwAcBQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-taSf0shFSUKy9iCXnySsA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
McikHxxEqZ2X0joaRNKlaw,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
EoAY1JSVeJriBzId8lUQwQ,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TfvWSIAMFZ9zI3y2-K6wOA,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
tU-YtoW339PXJmUGSix_AQ,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6p9TlP2I8S4agxYMNFSDjg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
JDDeaNfb0JXD1NbznSIC9g,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
FiXamVMgMf9U0VqFHDZSEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uLnDFdn011hEroQQMLmxNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
eznh0XjVtv924K-KYx_ilQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
usSROUMiAgPcxV3Ym0OxMQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CL3tZqbYT7B5zgewKCS6-Q,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
u22QDAON1kk0wjoTliyftw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53Yk2EODWnV9qHQECzeHVQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
iBZRphMDFcS2aMbawc1OvA,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
GJAv1nAfnHuab8oRyr8mXg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
r8BwdblCW-ZUES37BL0khw,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mIiHJkpK8nZvW_45LlhrbA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OZfpG8tDCcIEq8pzgZdyKw,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8Nm_jcCYtMXYW0ODSHDiXA,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
T49ZvBa6mD4xHSmjHe-ArA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
eOv0Dbq2E8sd0CKMAqTImw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
_jsJFrAmFVPRio0eEVExbA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lml0-yTNsMYsP9IrSMxw9A,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
JX2gDf2uy2UGuKPpcKT-IA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
QVZBd_eu0oJ4IN0md2XPTQ,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
udZJ8YgsHdqtFDQkyPTV1Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucKQlQvOeJxETLNkpKcaSw,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ZL6DNzyenFm9Kpz6uADlNg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
OcTG-KzDleuRub-pb6JS3Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Y2p07YEC8xOsYTHWf0UxiA,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
g58NW9q4F09wTMiI7EIjmg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
Pu5uzlZ05pqVlx6LcZbfgw,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
83_p9vIqOq1TUIf3_GD7bA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ts4xsKPU7FNPPZRj-nRjIg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UtWJ8NGMg-3z28s0RzlUoQ,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
bZcqORBnVApUA2-SEn7VEQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B9C6j80ob0f1pwi1Cnnd1Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tvXTHj9V5sgRoeVJW_FiTg,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
2SwC8wqpZC4B9iFVTgYT9A,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
PzG0XmAmtXFs6Fdnubf41g,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lHP5STO7aomlEQixH8m1aA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-iVcmhjfq79QoTWzrb6pKg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_Wey2YC6NvVUIH8vTygGg,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Y3E5QDlKmjHD2zOSPASFIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W7-Ybhe6JWJFXjcbmgvdyA,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
qUeBDN0D8SC93KeAHhiL-g,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
YXuvFMtygHPFEOEXgRtgLQ,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
LltDzuzRbAJbSrqD4JH-3A,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
VkqKyq09rDYMhFk5nElWWA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
QIJa5h2d65Bgh82zct7c7A,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PTkChuI3GPCw-ZL1Iph76A,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
BbIh5NTizhV4Fq_mLmNkpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ga0y-XHa4os_VvoHz21bfQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IxQ1ATP_Wg_QujO9nywzcQ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TyIsuojeKcTb4Acfg7xqew,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
oj8bMz76cKXQClpFTFNW9w,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k1A8pNspBPinGDivxkuDSA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-nO_qj9eP-os3baYyh8eNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
e5DtayybW4jbKcDBwEUmOQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CqHTknOJHZZncWzGtpbNsA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OjzR6hUYasFReo0vhVn0-w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6AnorAMPkTdSDbUkOoV1Rw,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49nxzKLr2qQnLF58qo2p1w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rEKBr81s19Soh3dYj4bcGQ,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
q_BKmbdlYfQJroJVHfYMUQ,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
99WYCuBEsO7OUCDWbbrrew,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
vMCCvnDU-Iz_D_pmbcMqzA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hUV4bjXE8Ijd-pDNr8S6mA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Od9niVya8G5BD3a1l2ss-g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z101WZaISochG6g7tI2ZVw,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Eixtf79t1_ZKaC-7J2kAWg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Z0OGW8PysysRXE0dR7QxQQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
